empid,employee_name,years_exp,in_project,project_name,benchcode,benchdate,leave_plan_days,salary_month,certification,certification_completetion_date,certification_completed_or_not
1,EID_22713,13,yes,apac,,,,,,,
2,EID_9658,12,no,,b1001,01-11-2023,5,,databricks professional,15-11-2023,yes
3,EID_22203,13,yes,apac,,,,,,,
4,EID_7652,10,yes,apac,,,,,,,
5,EID_6516,9,No,,b1001,01-10-2023,0,,databricks associate,15-10-2023,no
6,EID_20283,10,yes,apac,,,,,,,
7,EID_21014,8,no,,b1001,21-10-2023,10,,databricks associate,06-11-2023,no
8,EID_7693,12,yes,apac,,,,,,,
9,EID_13232,18,yes,apac,,,,,,,
10,EID_6515,18,No,,b1001,01-09-2023,0,,databricks professional,15-09-2023,yes
11,EID_13639,6,yes,product,,,,,,,
12,EID_14669,6,no,,b1001,20-09-2023,12,,azure dp203,30-10-2023,yes
13,EID_16537,4,yes,product,,,,,,,
14,EID_5782,4,yes,product,,,,,,,
15,EID_20157,2,No,,b1001,07-07-2023,30,,dp900,15-07-2023,yes
16,EID_1855,5,yes,product,,,,,,,
17,EID_20748,1,no,,b1001,15-08-2023,5,,dp900,22-08-2023,no
18,EID_23179,7,yes,product,,,,,,,
19,EID_12838,8,yes,product,,,,,,,
